date,city,temperature_c,humidity_pct,wind_speed_kmph,condition
2026-07-01,Jaipur,37.7,62,23.0,Rainy
2026-07-01,Delhi,39.2,62,16.0,Cloudy
2026-07-01,Mumbai,30.7,40,14.4,Windy
2026-07-01,Bengaluru,40.5,68,9.5,Sunny
2026-07-01,Chennai,26.0,53,22.2,Rainy
2026-07-01,Kolkata,28.3,45,22.2,Sunny
2026-07-02,Jaipur,25.5,61,20.8,Windy
2026-07-02,Delhi,37.8,38,17.2,Windy
2026-07-02,Mumbai,27.0,63,22.1,Humid
2026-07-02,Bengaluru,41.4,89,14.4,Cloudy
2026-07-02,Chennai,36.8,55,24.9,Rainy
2026-07-02,Kolkata,31.9,63,12.4,Cloudy
2026-07-03,Jaipur,28.0,51,2.5,Windy
2026-07-03,Delhi,28.1,44,2.2,Sunny
2026-07-03,Mumbai,28.1,87,2.7,Rainy
2026-07-03,Bengaluru,25.3,45,8.4,Humid
2026-07-03,Chennai,27.9,38,18.6,Windy
2026-07-03,Kolkata,34.4,45,20.0,Humid
2026-07-04,Jaipur,27.4,36,17.2,Rainy
2026-07-04,Delhi,31.6,59,21.9,Sunny
2026-07-04,Mumbai,36.1,71,4.3,Humid
2026-07-04,Bengaluru,37.1,81,21.8,Cloudy
2026-07-04,Chennai,27.4,64,12.3,Humid
2026-07-04,Kolkata,27.3,59,7.7,Sunny
2026-07-05,Jaipur,32.0,85,21.7,Sunny
2026-07-05,Delhi,24.9,64,21.2,Sunny
2026-07-05,Mumbai,40.7,84,7.4,Humid
2026-07-05,Bengaluru,32.7,43,21.9,Sunny
2026-07-05,Chennai,27.0,30,24.7,Rainy
2026-07-05,Kolkata,40.7,80,12.5,Humid
2026-07-06,Jaipur,36.5,76,24.9,Windy
2026-07-06,Delhi,35.9,61,5.6,Rainy
2026-07-06,Mumbai,27.9,33,15.3,Windy
2026-07-06,Bengaluru,25.1,50,3.3,Windy
2026-07-06,Chennai,32.6,88,21.6,Cloudy
2026-07-06,Kolkata,25.0,62,3.8,Cloudy
2026-07-07,Jaipur,25.2,34,17.5,Cloudy
2026-07-07,Delhi,31.3,90,22.5,Cloudy
2026-07-07,Mumbai,34.4,32,16.2,Humid
2026-07-07,Bengaluru,35.8,66,14.0,Rainy
2026-07-07,Chennai,27.7,75,9.2,Rainy
2026-07-07,Kolkata,31.1,72,16.8,Humid
